Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1197252,-,-,-,40.09,-75.46,-5,81,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,DHI,DNI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Relative Humidity,Solar Zenith Angle
2015,1,1,0,30,-3,0,0,0,0,0,0,75.33,162.14000000000001
2015,1,1,1,30,-3,0,0,0,0,0,0,74.68,155.26
2015,1,1,2,30,-3,0,0,0,0,0,0,78.77,145.08
2015,1,1,3,30,-4,0,0,0,0,0,0,77.34,133.87
2015,1,1,4,30,-4,0,0,0,0,0,0,76.60000000000001,122.41
2015,1,1,5,30,-4,0,0,0,0,0,0,76.68,111.07000000000001
2015,1,1,6,30,-4,0,0,0,0,0,0,77.78,100.12
2015,1,1,7,30,-3,0,0,0,0,0,0,73.67,89.83
2015,1,1,8,30,-1,140,42,600,42,600,140,64.76,80.55
2015,1,1,9,30,0,292,58,787,58,787,292,57.69,72.72
2015,1,1,10,30,1,408,66,869,66,869,408,53.370000000000005,66.87
2015,1,1,11,30,2,472,69,905,69,905,472,50.660000000000004,63.61
2015,1,1,12,30,2,477,68,911,68,911,477,49.27,63.33
2015,1,1,13,30,2,422,68,872,68,872,422,51.52,66.07000000000001
2015,1,1,14,30,2,316,58,812,58,812,316,58.0,71.49
2015,1,1,15,30,1,170,44,662,44,662,170,66.95,79.01
2015,1,1,16,30,0,23,14,264,14,264,23,69.75,88.06
2015,1,1,17,30,0,0,0,0,0,0,0,70.41,98.2
2015,1,1,18,30,0,0,0,0,0,0,0,72.36,109.04
2015,1,1,19,30,0,0,0,0,0,0,0,79.76,120.33
2015,1,1,20,30,-1,0,0,0,0,0,0,82.06,131.78
2015,1,1,21,30,-1,0,0,0,0,0,0,84.17,143.07
2015,1,1,22,30,-1,0,0,0,0,0,0,86.18,153.53
2015,1,1,23,30,-1,0,0,0,0,0,0,86.72,161.27
2015,1,2,0,30,-1,0,0,0,0,0,0,86.34,162.09
2015,1,2,1,30,-1,0,0,0,0,0,0,86.02,155.27
2015,1,2,2,30,-1,0,0,0,0,0,0,85.9,145.11
2015,1,2,3,30,-2,0,0,0,0,0,0,92.31,133.91
2015,1,2,4,30,-2,0,0,0,0,0,0,92.31,122.45
2015,1,2,5,30,-2,0,0,0,0,0,0,92.25,111.11
2015,1,2,6,30,-2,0,0,0,0,0,0,91.82000000000001,100.15
2015,1,2,7,30,-1,0,0,0,0,0,0,84.65,89.85000000000001
2015,1,2,8,30,1,71,60,61,45,533,133,81.14,80.55
2015,1,2,9,30,2,214,99,386,65,717,278,71.68,72.69
2015,1,2,10,30,3,321,119,513,93,732,381,60.910000000000004,66.83
2015,1,2,11,30,4,351,159,431,101,767,443,55.56,63.54
2015,1,2,12,30,4,389,128,580,99,780,451,56.300000000000004,63.230000000000004
2015,1,2,13,30,4,357,99,632,101,726,397,57.22,65.96000000000001
2015,1,2,14,30,3,295,85,657,85,657,295,62.67,71.36
2015,1,2,15,30,1,97,73,125,59,516,158,75.96000000000001,78.87
2015,1,2,16,30,0,13,13,0,16,151,22,80.49,87.92
2015,1,2,17,30,-1,0,0,0,0,0,0,84.51,98.06
2015,1,2,18,30,-1,0,0,0,0,0,0,85.69,108.9
2015,1,2,19,30,-1,0,0,0,0,0,0,85.9,120.19
2015,1,2,20,30,-1,0,0,0,0,0,0,86.48,131.64000000000001
2015,1,2,21,30,-1,0,0,0,0,0,0,89.22,142.93
2015,1,2,22,30,-2,0,0,0,0,0,0,88.39,153.39000000000001
2015,1,2,23,30,-2,0,0,0,0,0,0,88.24,161.15
2015,1,3,0,30,-2,0,0,0,0,0,0,89.67,162.03
2015,1,3,1,30,-2,0,0,0,0,0,0,88.5,155.27
2015,1,3,2,30,-2,0,0,0,0,0,0,88.07000000000001,145.14000000000001
2015,1,3,3,30,-2,0,0,0,0,0,0,88.22,133.94
2015,1,3,4,30,-2,0,0,0,0,0,0,88.52,122.48
2015,1,3,5,30,-2,0,0,0,0,0,0,89.08,111.14
2015,1,3,6,30,-2,0,0,0,0,0,0,90.3,100.17
2015,1,3,7,30,-1,0,0,0,0,0,0,85.12,89.86
2015,1,3,8,30,0,18,18,0,50,440,123,82.38,80.55
2015,1,3,9,30,2,74,74,0,78,608,259,82.48,72.67
2015,1,3,10,30,3,71,71,0,92,691,365,84.88,66.78
2015,1,3,11,30,3,17,17,0,105,708,422,91.62,63.46
2015,1,3,12,30,2,135,135,0,120,665,420,96.41,63.13
2015,1,3,13,30,2,86,86,0,134,552,361,99.07000000000001,65.84
2015,1,3,14,30,1,51,51,0,118,451,263,100.0,71.23
2015,1,3,15,30,1,3,3,0,78,300,137,100.0,78.73
2015,1,3,16,30,1,0,0,0,15,30,16,100.0,87.78
2015,1,3,17,30,1,0,0,0,0,0,0,100.0,97.91
2015,1,3,18,30,2,0,0,0,0,0,0,100.0,108.76
2015,1,3,19,30,2,0,0,0,0,0,0,100.0,120.05
2015,1,3,20,30,2,0,0,0,0,0,0,100.0,131.5
2015,1,3,21,30,2,0,0,0,0,0,0,100.0,142.79
2015,1,3,22,30,2,0,0,0,0,0,0,100.0,153.24
2015,1,3,23,30,2,0,0,0,0,0,0,100.0,161.02
2015,1,4,0,30,2,0,0,0,0,0,0,100.0,161.96
2015,1,4,1,30,2,0,0,0,0,0,0,100.0,155.27
2015,1,4,2,30,2,0,0,0,0,0,0,100.0,145.16
2015,1,4,3,30,2,0,0,0,0,0,0,100.0,133.97
2015,1,4,4,30,2,0,0,0,0,0,0,100.0,122.52
2015,1,4,5,30,2,0,0,0,0,0,0,100.0,111.17
2015,1,4,6,30,2,0,0,0,0,0,0,100.0,100.19
2015,1,4,7,30,2,0,0,0,0,0,0,100.0,89.86
2015,1,4,8,30,3,31,31,0,49,412,117,100.0,80.53
2015,1,4,9,30,4,22,22,0,71,616,255,100.0,72.63
2015,1,4,10,30,6,56,56,0,97,661,358,97.29,66.72
2015,1,4,11,30,8,71,71,0,89,749,425,94.91,63.370000000000005
2015,1,4,12,30,9,29,29,0,77,793,437,100.0,63.02
2015,1,4,13,30,10,62,62,0,71,775,389,100.0,65.71000000000001
2015,1,4,14,30,11,82,82,0,61,711,292,100.0,71.08
2015,1,4,15,30,11,64,64,0,47,555,157,100.0,78.58
2015,1,4,16,30,11,9,9,0,16,164,23,100.0,87.63
2015,1,4,17,30,10,0,0,0,0,0,0,100.0,97.77
2015,1,4,18,30,10,0,0,0,0,0,0,100.0,108.62
2015,1,4,19,30,9,0,0,0,0,0,0,100.0,119.9
2015,1,4,20,30,8,0,0,0,0,0,0,100.0,131.35
2015,1,4,21,30,6,0,0,0,0,0,0,100.0,142.64000000000001
2015,1,4,22,30,5,0,0,0,0,0,0,95.03,153.1
2015,1,4,23,30,4,0,0,0,0,0,0,88.64,160.88
2015,1,5,0,30,3,0,0,0,0,0,0,85.66,161.88
2015,1,5,1,30,2,0,0,0,0,0,0,88.08,155.25
2015,1,5,2,30,2,0,0,0,0,0,0,85.9,145.18
2015,1,5,3,30,1,0,0,0,0,0,0,83.92,134.0
2015,1,5,4,30,0,0,0,0,0,0,0,79.23,122.54
2015,1,5,5,30,0,0,0,0,0,0,0,71.66,111.19
