Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1187977,-,-,-,39.93,-75.74,-5,105,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,DHI,DNI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Relative Humidity,Solar Zenith Angle
2015,1,1,0,30,-3,0,0,0,0,0,0,76.42,162.36
2015,1,1,1,30,-3,0,0,0,0,0,0,75.75,155.53
2015,1,1,2,30,-3,0,0,0,0,0,0,74.28,145.33
2015,1,1,3,30,-4,0,0,0,0,0,0,78.81,134.09
2015,1,1,4,30,-4,0,0,0,0,0,0,78.12,122.61
2015,1,1,5,30,-4,0,0,0,0,0,0,78.35000000000001,111.24000000000001
2015,1,1,6,30,-4,0,0,0,0,0,0,79.60000000000001,100.26
2015,1,1,7,30,-3,0,0,0,0,0,0,75.48,89.93
2015,1,1,8,30,-1,140,41,602,41,602,140,66.31,80.61
2015,1,1,9,30,0,293,58,790,58,790,293,58.71,72.72
2015,1,1,10,30,1,410,66,872,66,872,410,50.2,66.82000000000001
2015,1,1,11,30,2,475,69,909,69,909,475,47.6,63.49
2015,1,1,12,30,2,482,68,915,68,915,482,49.67,63.15
2015,1,1,13,30,2,428,68,879,68,879,428,51.89,65.85
2015,1,1,14,30,2,322,58,819,58,819,322,58.410000000000004,71.23
2015,1,1,15,30,1,176,44,672,44,672,176,67.53,78.74
2015,1,1,16,30,0,26,15,285,15,285,26,70.22,87.79
2015,1,1,17,30,0,0,0,0,0,0,0,70.75,97.94
2015,1,1,18,30,0,0,0,0,0,0,0,72.82000000000001,108.8
2015,1,1,19,30,-1,0,0,0,0,0,0,80.45,120.10000000000001
2015,1,1,20,30,-1,0,0,0,0,0,0,82.94,131.58
2015,1,1,21,30,-1,0,0,0,0,0,0,85.05,142.91
2015,1,1,22,30,-1,0,0,0,0,0,0,86.98,153.43
2015,1,1,23,30,-1,0,0,0,0,0,0,87.27,161.32
2015,1,2,0,30,-1,0,0,0,0,0,0,86.82000000000001,162.31
2015,1,2,1,30,-1,0,0,0,0,0,0,86.53,155.54
2015,1,2,2,30,-1,0,0,0,0,0,0,86.38,145.37
2015,1,2,3,30,-2,0,0,0,0,0,0,92.88,134.14000000000001
2015,1,2,4,30,-2,0,0,0,0,0,0,92.96000000000001,122.65
2015,1,2,5,30,-2,0,0,0,0,0,0,92.95,111.28
2015,1,2,6,30,-2,0,0,0,0,0,0,92.67,100.29
2015,1,2,7,30,-1,0,0,0,0,0,0,85.5,89.95
2015,1,2,8,30,1,70,60,62,45,533,132,76.23,80.61
2015,1,2,9,30,2,230,86,482,65,718,278,72.71000000000001,72.7
2015,1,2,10,30,3,279,153,318,95,727,381,61.93,66.77
2015,1,2,11,30,4,332,175,351,102,767,445,56.19,63.410000000000004
2015,1,2,12,30,4,359,162,435,99,785,455,56.88,63.050000000000004
2015,1,2,13,30,4,317,145,416,100,735,402,57.78,65.73
2015,1,2,14,30,3,254,95,490,84,671,302,63.35,71.11
2015,1,2,15,30,1,118,70,246,58,534,164,77.02,78.61
2015,1,2,16,30,0,18,18,0,18,177,25,81.06,87.66
2015,1,2,17,30,-1,0,0,0,0,0,0,84.61,97.8
2015,1,2,18,30,-1,0,0,0,0,0,0,85.87,108.66
2015,1,2,19,30,-1,0,0,0,0,0,0,86.02,119.96000000000001
2015,1,2,20,30,-1,0,0,0,0,0,0,86.64,131.44
2015,1,2,21,30,-1,0,0,0,0,0,0,82.54,142.77
2015,1,2,22,30,-2,0,0,0,0,0,0,88.18,153.29
2015,1,2,23,30,-2,0,0,0,0,0,0,88.23,161.19
2015,1,3,0,30,-2,0,0,0,0,0,0,90.13,162.25
2015,1,3,1,30,-2,0,0,0,0,0,0,88.96000000000001,155.54
2015,1,3,2,30,-2,0,0,0,0,0,0,88.79,145.39000000000001
2015,1,3,3,30,-2,0,0,0,0,0,0,89.23,134.17000000000002
2015,1,3,4,30,-2,0,0,0,0,0,0,89.72,122.69
2015,1,3,5,30,-2,0,0,0,0,0,0,90.53,111.31
2015,1,3,6,30,-2,0,0,0,0,0,0,91.59,100.32000000000001
2015,1,3,7,30,-1,0,0,0,0,0,0,86.34,89.96000000000001
2015,1,3,8,30,0,12,12,0,50,438,121,83.5,80.60000000000001
2015,1,3,9,30,1,27,27,0,77,607,258,83.62,72.67
2015,1,3,10,30,2,81,81,0,93,690,366,85.56,66.72
2015,1,3,11,30,2,51,51,0,107,706,424,91.49,63.33
2015,1,3,12,30,2,60,60,0,122,662,423,95.64,62.95
2015,1,3,13,30,2,64,64,0,136,556,365,98.27,65.61
2015,1,3,14,30,2,36,36,0,118,461,268,100.0,70.97
2015,1,3,15,30,1,18,18,0,80,307,142,100.0,78.46000000000001
2015,1,3,16,30,1,2,2,0,17,36,18,100.0,87.51
2015,1,3,17,30,1,0,0,0,0,0,0,100.0,97.65
2015,1,3,18,30,2,0,0,0,0,0,0,100.0,108.51
2015,1,3,19,30,2,0,0,0,0,0,0,100.0,119.82000000000001
2015,1,3,20,30,2,0,0,0,0,0,0,100.0,131.3
2015,1,3,21,30,2,0,0,0,0,0,0,100.0,142.63
2015,1,3,22,30,2,0,0,0,0,0,0,100.0,153.15
2015,1,3,23,30,2,0,0,0,0,0,0,100.0,161.06
2015,1,4,0,30,2,0,0,0,0,0,0,100.0,162.18
2015,1,4,1,30,2,0,0,0,0,0,0,100.0,155.53
2015,1,4,2,30,2,0,0,0,0,0,0,100.0,145.42000000000002
2015,1,4,3,30,2,0,0,0,0,0,0,100.0,134.2
2015,1,4,4,30,2,0,0,0,0,0,0,100.0,122.72
2015,1,4,5,30,2,0,0,0,0,0,0,100.0,111.34
2015,1,4,6,30,2,0,0,0,0,0,0,100.0,100.33
2015,1,4,7,30,2,0,0,0,0,0,0,100.0,89.97
2015,1,4,8,30,3,21,21,0,49,414,116,100.0,80.59
2015,1,4,9,30,4,16,16,0,71,621,256,100.0,72.64
2015,1,4,10,30,6,15,15,0,96,668,361,98.36,66.66
2015,1,4,11,30,8,70,70,0,87,759,429,95.95,63.25
2015,1,4,12,30,10,68,68,0,75,803,441,100.0,62.83
2015,1,4,13,30,11,101,101,0,70,783,395,100.0,65.48
2015,1,4,14,30,11,79,79,0,61,718,297,100.0,70.83
2015,1,4,15,30,11,35,35,0,48,563,162,100.0,78.32000000000001
2015,1,4,16,30,11,5,5,0,17,179,26,100.0,87.37
2015,1,4,17,30,10,0,0,0,0,0,0,100.0,97.51
2015,1,4,18,30,10,0,0,0,0,0,0,100.0,108.37
2015,1,4,19,30,9,0,0,0,0,0,0,100.0,119.67
2015,1,4,20,30,8,0,0,0,0,0,0,100.0,131.15
2015,1,4,21,30,7,0,0,0,0,0,0,97.99000000000001,142.48
2015,1,4,22,30,5,0,0,0,0,0,0,93.55,153.0
2015,1,4,23,30,4,0,0,0,0,0,0,87.12,160.92000000000002
2015,1,5,0,30,3,0,0,0,0,0,0,84.06,162.1
2015,1,5,1,30,2,0,0,0,0,0,0,86.59,155.52
2015,1,5,2,30,2,0,0,0,0,0,0,84.71000000000001,145.43
2015,1,5,3,30,1,0,0,0,0,0,0,82.67,134.23
2015,1,5,4,30,0,0,0,0,0,0,0,78.51,122.75
2015,1,5,5,30,0,0,0,0,0,0,0,71.45,111.36
2015,1,5,6,30,0,0,0,0,0,0,0,66.8,100.35000000000001
2015,1,5,7,30,0,0,0,0,0,0,0,63.28,89.97
2015,1,5,8,30,0,137,47,554,47,554,137,59.17,80.57000000000001
2015,1,5,9,30,0,208,104,348,65,757,291,52.96,72.60000000000001
2015,1,5,10,30,0,137,136,1,72,859,413,49.33,66.59
2015,1,5,11,30,0,483,75,902,75,902,483,47.28,63.15
2015,1,5,12,30,0,493,75,912,75,912,493,45.18,62.72
2015,1,5,13,30,0,443,69,898,69,898,443,43.49,65.34
2015,1,5,14,30,0,339,57,852,57,852,339,42.17,70.68
2015,1,5,15,30,-1,192,42,732,42,732,192,44.45,78.17
2015,1,5,16,30,-3,35,17,374,17,374,35,51.59,87.21000000000001
