Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1186702,-,-,-,40.09,-75.78,-5,179,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,DHI,DNI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Relative Humidity,Solar Zenith Angle
2015,1,1,0,30,-4,0,0,0,0,0,0,72.5,162.22
2015,1,1,1,30,-4,0,0,0,0,0,0,71.73,155.46
2015,1,1,2,30,-4,0,0,0,0,0,0,76.02,145.31
2015,1,1,3,30,-4,0,0,0,0,0,0,75.09,134.11
2015,1,1,4,30,-4,0,0,0,0,0,0,74.47,122.65
2015,1,1,5,30,-5,0,0,0,0,0,0,74.62,111.31
2015,1,1,6,30,-5,0,0,0,0,0,0,75.71000000000001,100.35000000000001
2015,1,1,7,30,-4,0,0,0,0,0,0,71.78,90.04
2015,1,1,8,30,-2,138,41,604,41,604,138,68.37,80.74
2015,1,1,9,30,0,291,57,793,57,793,291,56.72,72.86
2015,1,1,10,30,0,408,65,875,65,875,408,52.45,66.97
2015,1,1,11,30,1,473,68,912,68,912,473,49.83,63.65
2015,1,1,12,30,1,480,67,918,67,918,480,48.52,63.300000000000004
2015,1,1,13,30,2,426,67,883,67,883,426,50.800000000000004,65.99
2015,1,1,14,30,1,321,57,823,57,823,321,57.27,71.35000000000001
2015,1,1,15,30,0,174,44,675,44,675,174,66.19,78.83
2015,1,1,16,30,0,26,15,287,15,287,26,69.01,87.86
2015,1,1,17,30,0,0,0,0,0,0,0,69.77,97.97
2015,1,1,18,30,-1,0,0,0,0,0,0,71.78,108.81
2015,1,1,19,30,-1,0,0,0,0,0,0,79.24,120.08
2015,1,1,20,30,-1,0,0,0,0,0,0,81.39,131.54
2015,1,1,21,30,-1,0,0,0,0,0,0,83.13,142.84
2015,1,1,22,30,-1,0,0,0,0,0,0,84.82000000000001,153.32
2015,1,1,23,30,-2,0,0,0,0,0,0,85.2,161.16
2015,1,2,0,30,-2,0,0,0,0,0,0,91.31,162.16
2015,1,2,1,30,-2,0,0,0,0,0,0,91.06,155.46
2015,1,2,2,30,-2,0,0,0,0,0,0,90.85000000000001,145.35
2015,1,2,3,30,-2,0,0,0,0,0,0,90.60000000000001,134.15
2015,1,2,4,30,-2,0,0,0,0,0,0,90.51,122.69
2015,1,2,5,30,-2,0,0,0,0,0,0,90.39,111.35000000000001
2015,1,2,6,30,-2,0,0,0,0,0,0,89.91,100.38
2015,1,2,7,30,-1,0,0,0,0,0,0,82.69,90.06
2015,1,2,8,30,0,71,59,72,44,534,130,78.95,80.74
2015,1,2,9,30,2,215,96,406,64,721,277,70.09,72.84
2015,1,2,10,30,3,279,151,326,94,728,379,59.92,66.93
2015,1,2,11,30,3,338,169,380,101,769,444,54.74,63.58
2015,1,2,12,30,4,397,117,621,99,785,453,55.49,63.21
2015,1,2,13,30,3,352,109,595,99,738,401,56.43,65.87
2015,1,2,14,30,2,301,83,677,83,677,301,61.88,71.22
2015,1,2,15,30,1,106,73,168,57,543,164,75.01,78.69
2015,1,2,16,30,0,16,16,0,17,181,24,79.98,87.72
2015,1,2,17,30,-1,0,0,0,0,0,0,84.07000000000001,97.83
2015,1,2,18,30,-1,0,0,0,0,0,0,85.11,108.67
2015,1,2,19,30,-1,0,0,0,0,0,0,85.26,119.94
2015,1,2,20,30,-1,0,0,0,0,0,0,85.81,131.4
2015,1,2,21,30,-2,0,0,0,0,0,0,88.16,142.70000000000002
2015,1,2,22,30,-2,0,0,0,0,0,0,87.46000000000001,153.18
2015,1,2,23,30,-2,0,0,0,0,0,0,87.23,161.04
2015,1,3,0,30,-2,0,0,0,0,0,0,88.97,162.1
2015,1,3,1,30,-3,0,0,0,0,0,0,87.35000000000001,155.46
2015,1,3,2,30,-3,0,0,0,0,0,0,86.66,145.37
2015,1,3,3,30,-3,0,0,0,0,0,0,93.22,134.19
2015,1,3,4,30,-3,0,0,0,0,0,0,86.67,122.73
2015,1,3,5,30,-2,0,0,0,0,0,0,87.27,111.38
2015,1,3,6,30,-2,0,0,0,0,0,0,88.21000000000001,100.4
2015,1,3,7,30,-1,0,0,0,0,0,0,83.12,90.07000000000001
2015,1,3,8,30,0,120,50,434,50,434,120,80.43,80.73
2015,1,3,9,30,1,74,74,0,77,607,256,80.53,72.82000000000001
2015,1,3,10,30,2,55,55,0,92,694,364,82.43,66.88
2015,1,3,11,30,2,28,28,0,105,712,423,88.18,63.5
2015,1,3,12,30,1,125,125,0,120,667,422,99.18,63.1
2015,1,3,13,30,1,63,63,0,134,560,364,100.0,65.75
2015,1,3,14,30,1,17,17,0,116,468,268,100.0,71.09
2015,1,3,15,30,1,25,25,0,79,315,141,100.0,78.55
2015,1,3,16,30,1,3,3,0,16,37,18,100.0,87.57000000000001
2015,1,3,17,30,1,0,0,0,0,0,0,100.0,97.69
2015,1,3,18,30,1,0,0,0,0,0,0,100.0,108.52
2015,1,3,19,30,1,0,0,0,0,0,0,100.0,119.8
2015,1,3,20,30,1,0,0,0,0,0,0,100.0,131.26
2015,1,3,21,30,2,0,0,0,0,0,0,100.0,142.55
2015,1,3,22,30,2,0,0,0,0,0,0,100.0,153.04
2015,1,3,23,30,1,0,0,0,0,0,0,100.0,160.9
2015,1,4,0,30,1,0,0,0,0,0,0,100.0,162.03
2015,1,4,1,30,1,0,0,0,0,0,0,100.0,155.46
2015,1,4,2,30,1,0,0,0,0,0,0,100.0,145.39000000000001
2015,1,4,3,30,2,0,0,0,0,0,0,100.0,134.22
2015,1,4,4,30,2,0,0,0,0,0,0,100.0,122.76
2015,1,4,5,30,2,0,0,0,0,0,0,100.0,111.4
2015,1,4,6,30,2,0,0,0,0,0,0,100.0,100.42
2015,1,4,7,30,2,0,0,0,0,0,0,100.0,90.07000000000001
2015,1,4,8,30,2,17,17,0,47,422,115,100.0,80.72
2015,1,4,9,30,3,53,53,0,69,630,256,98.96000000000001,72.78
2015,1,4,10,30,5,37,37,0,93,680,361,100.0,66.82000000000001
2015,1,4,11,30,7,32,32,0,85,769,429,98.65,63.410000000000004
2015,1,4,12,30,8,49,49,0,74,808,441,97.52,62.99
2015,1,4,13,30,9,78,78,0,69,788,395,100.0,65.62
2015,1,4,14,30,10,100,100,0,61,724,297,100.0,70.95
2015,1,4,15,30,10,49,49,0,47,569,161,100.0,78.41
2015,1,4,16,30,9,7,7,0,17,186,25,100.0,87.43
2015,1,4,17,30,9,0,0,0,0,0,0,100.0,97.54
2015,1,4,18,30,8,0,0,0,0,0,0,100.0,108.38
2015,1,4,19,30,7,0,0,0,0,0,0,100.0,119.66
2015,1,4,20,30,6,0,0,0,0,0,0,100.0,131.11
2015,1,4,21,30,5,0,0,0,0,0,0,99.73,142.41
2015,1,4,22,30,4,0,0,0,0,0,0,89.96000000000001,152.89000000000001
2015,1,4,23,30,3,0,0,0,0,0,0,90.84,160.77
2015,1,5,0,30,2,0,0,0,0,0,0,88.51,161.95000000000002
2015,1,5,1,30,2,0,0,0,0,0,0,85.24,155.44
2015,1,5,2,30,1,0,0,0,0,0,0,88.96000000000001,145.41
2015,1,5,3,30,0,0,0,0,0,0,0,85.85000000000001,134.24
2015,1,5,4,30,0,0,0,0,0,0,0,75.28,122.79
2015,1,5,5,30,0,0,0,0,0,0,0,68.54,111.43
2015,1,5,6,30,-1,0,0,0,0,0,0,64.31,100.43
2015,1,5,7,30,-1,0,0,0,0,0,0,60.77,90.07000000000001
2015,1,5,8,30,0,4,4,0,46,552,136,56.5,80.7
2015,1,5,9,30,0,289,64,759,64,759,289,50.83,72.74
2015,1,5,10,30,0,411,71,862,71,862,411,47.44,66.75
2015,1,5,11,30,0,481,75,904,75,904,481,45.47,63.32
2015,1,5,12,30,0,491,74,913,74,913,491,43.53,62.870000000000005
2015,1,5,13,30,0,442,68,901,68,901,442,42.03,65.48
2015,1,5,14,30,-1,338,56,856,56,856,338,40.800000000000004,70.8
2015,1,5,15,30,-2,191,41,736,41,736,191,46.19,78.26
2015,1,5,16,30,-3,34,17,374,17,374,34,49.44,87.28
2015,1,5,17,30,-4,0,0,0,0,0,0,52.99,97.39
2015,1,5,18,30,-5,0,0,0,0,0,0,54.72,108.23
2015,1,5,19,30,-6,0,0,0,0,0,0,52.800000000000004,119.51
2015,1,5,20,30,-6,0,0,0,0,0,0,51.97,130.96
2015,1,5,21,30,-6,0,0,0,0,0,0,51.71,142.26
2015,1,5,22,30,-6,0,0,0,0,0,0,52.19,152.74
2015,1,5,23,30,-6,0,0,0,0,0,0,56.47,160.62
2015,1,6,0,30,-6,0,0,0,0,0,0,55.36,161.87
2015,1,6,1,30,-6,0,0,0,0,0,0,54.410000000000004,155.42000000000002
2015,1,6,2,30,-6,0,0,0,0,0,0,49.730000000000004,145.42000000000002
2015,1,6,3,30,-6,0,0,0,0,0,0,49.24,134.26
2015,1,6,4,30,-6,0,0,0,0,0,0,49.64,122.81
2015,1,6,5,30,-6,0,0,0,0,0,0,56.6,111.44
2015,1,6,6,30,-6,0,0,0,0,0,0,59.59,100.44
2015,1,6,7,30,-6,0,0,0,0,0,0,62.17,90.07000000000001
2015,1,6,8,30,-6,67,59,45,73,325,125,60.58,80.67
2015,1,6,9,30,-5,164,121,144,118,539,278,64.22,72.69
2015,1,6,10,30,-5,234,188,116,153,619,398,67.43,66.68
2015,1,6,11,30,-4,275,220,121,174,650,467,65.33,63.21
2015,1,6,12,30,-4,277,222,119,169,673,478,67.94,62.75
2015,1,6,13,30,-4,245,200,108,166,619,424,70.28,65.34
2015,1,6,14,30,-4,183,153,88,144,520,316,72.44,70.65
2015,1,6,15,30,-4,172,94,378,94,378,172,74.24,78.10000000000001
2015,1,6,16,30,-4,28,28,0,23,85,28,74.14,87.12
2015,1,6,17,30,-5,0,0,0,0,0,0,73.42,97.24000000000001
2015,1,6,18,30,-5,0,0,0,0,0,0,76.99,108.08
2015,1,6,19,30,-5,0,0,0,0,0,0,74.83,119.36
2015,1,6,20,30,-6,0,0,0,0,0,0,71.95,130.81
2015,1,6,21,30,-6,0,0,0,0,0,0,73.41,142.1
2015,1,6,22,30,-7,0,0,0,0,0,0,77.63,152.58
2015,1,6,23,30,-7,0,0,0,0,0,0,76.11,160.47
2015,1,7,0,30,-7,0,0,0,0,0,0,73.99,161.77
2015,1,7,1,30,-7,0,0,0,0,0,0,68.29,155.39000000000001
2015,1,7,2,30,-7,0,0,0,0,0,0,69.01,145.42000000000002
2015,1,7,3,30,-6,0,0,0,0,0,0,70.35000000000001,134.27
2015,1,7,4,30,-6,0,0,0,0,0,0,71.72,122.82000000000001
2015,1,7,5,30,-6,0,0,0,0,0,0,70.87,111.45
2015,1,7,6,30,-7,0,0,0,0,0,0,66.9,100.44
2015,1,7,7,30,-7,0,0,0,0,0,0,67.79,90.05
2015,1,7,8,30,-7,143,51,567,51,567,143,62.63,80.64
2015,1,7,9,30,-7,305,77,764,77,764,305,49.97,72.64
2015,1,7,10,30,-7,253,167,216,97,838,430,47.46,66.59
2015,1,7,11,30,-6,306,194,247,111,863,502,47.2,63.11
2015,1,7,12,30,-6,326,192,290,115,863,512,46.58,62.61
2015,1,7,13,30,-6,340,137,484,106,842,460,45.69,65.19
2015,1,7,14,30,-7,159,136,69,95,757,348,45.18,70.49
2015,1,7,15,30,-7,78,76,13,73,569,192,48.870000000000005,77.94
2015,1,7,16,30,-8,35,25,182,25,182,35,53.06,86.96000000000001
2015,1,7,17,30,-9,0,0,0,0,0,0,49.0,97.08
2015,1,7,18,30,-10,0,0,0,0,0,0,50.2,107.92
2015,1,7,19,30,-11,0,0,0,0,0,0,49.0,119.2
2015,1,7,20,30,-12,0,0,0,0,0,0,46.45,130.66
2015,1,7,21,30,-12,0,0,0,0,0,0,49.59,141.95000000000002
2015,1,7,22,30,-12,0,0,0,0,0,0,49.24,152.42000000000002
2015,1,7,23,30,-13,0,0,0,0,0,0,47.980000000000004,160.31
2015,1,8,0,30,-13,0,0,0,0,0,0,51.09,161.67000000000002
2015,1,8,1,30,-13,0,0,0,0,0,0,52.52,155.35
2015,1,8,2,30,-13,0,0,0,0,0,0,55.68,145.41
2015,1,8,3,30,-14,0,0,0,0,0,0,58.08,134.28
2015,1,8,4,30,-14,0,0,0,0,0,0,61.2,122.83
2015,1,8,5,30,-14,0,0,0,0,0,0,64.78,111.45
2015,1,8,6,30,-14,0,0,0,0,0,0,67.29,100.43
2015,1,8,7,30,-13,0,0,0,0,0,0,63.29,90.03
2015,1,8,8,30,-11,146,48,599,48,599,146,59.04,80.60000000000001
2015,1,8,9,30,-10,307,74,776,74,776,307,53.93,72.57000000000001
2015,1,8,10,30,-9,429,97,831,97,831,429,49.6,66.5
2015,1,8,11,30,-8,501,102,876,102,876,501,46.52,62.99
2015,1,8,12,30,-8,511,99,890,99,890,511,44.29,62.480000000000004
2015,1,8,13,30,-8,459,90,876,90,876,459,45.800000000000004,65.04
2015,1,8,14,30,-8,301,64,704,77,811,350,47.24,70.33
2015,1,8,15,30,-8,141,69,341,57,669,198,52.5,77.77
2015,1,8,16,30,-9,39,22,310,22,310,39,57.84,86.8
2015,1,8,17,30,-10,0,0,0,0,0,0,67.1,96.92
2015,1,8,18,30,-11,0,0,0,0,0,0,68.37,107.76
2015,1,8,19,30,-10,0,0,0,0,0,0,69.71000000000001,119.05
2015,1,8,20,30,-10,0,0,0,0,0,0,66.07000000000001,130.5
2015,1,8,21,30,-10,0,0,0,0,0,0,68.65,141.79
2015,1,8,22,30,-9,0,0,0,0,0,0,70.60000000000001,152.25
2015,1,8,23,30,-8,0,0,0,0,0,0,67.58,160.15
2015,1,9,0,30,-8,0,0,0,0,0,0,66.06,161.55
2015,1,9,1,30,-7,0,0,0,0,0,0,69.75,155.31
2015,1,9,2,30,-7,0,0,0,0,0,0,72.43,145.4
2015,1,9,3,30,-7,0,0,0,0,0,0,68.33,134.28
2015,1,9,4,30,-6,0,0,0,0,0,0,70.38,122.83
2015,1,9,5,30,-6,0,0,0,0,0,0,69.68,111.45
2015,1,9,6,30,-6,0,0,0,0,0,0,68.77,100.42
2015,1,9,7,30,-5,0,0,0,0,0,0,72.75,90.0
2015,1,9,8,30,-4,71,61,64,52,526,138,71.57000000000001,80.56
2015,1,9,9,30,-3,108,107,3,78,725,296,69.94,72.51
2015,1,9,10,30,-1,424,93,826,93,826,424,61.86,66.41
2015,1,9,11,30,0,499,105,864,105,864,499,56.45,62.870000000000005
2015,1,9,12,30,0,512,106,873,106,873,512,54.63,62.33
2015,1,9,13,30,0,381,96,669,100,852,462,53.83,64.87
2015,1,9,14,30,0,354,84,795,84,795,354,52.84,70.16
2015,1,9,15,30,-2,205,58,684,58,684,205,56.15,77.60000000000001
2015,1,9,16,30,-3,43,22,362,22,362,43,62.89,86.63
2015,1,9,17,30,-4,0,0,0,0,0,0,64.25,96.75
2015,1,9,18,30,-5,0,0,0,0,0,0,65.81,107.60000000000001
2015,1,9,19,30,-6,0,0,0,0,0,0,68.66,118.89
2015,1,9,20,30,-7,0,0,0,0,0,0,64.22,130.34
2015,1,9,21,30,-7,0,0,0,0,0,0,66.01,141.62
2015,1,9,22,30,-7,0,0,0,0,0,0,63.83,152.08
2015,1,9,23,30,-8,0,0,0,0,0,0,67.7,159.98
2015,1,10,0,30,-8,0,0,0,0,0,0,65.88,161.43
2015,1,10,1,30,-8,0,0,0,0,0,0,62.190000000000005,155.26
2015,1,10,2,30,-9,0,0,0,0,0,0,65.21000000000001,145.38
2015,1,10,3,30,-10,0,0,0,0,0,0,63.24,134.28
2015,1,10,4,30,-10,0,0,0,0,0,0,63.85,122.83
2015,1,10,5,30,-10,0,0,0,0,0,0,57.800000000000004,111.44
2015,1,10,6,30,-11,0,0,0,0,0,0,58.050000000000004,100.4
2015,1,10,7,30,-11,0,0,0,0,0,0,55.870000000000005,89.97
2015,1,10,8,30,-10,156,44,678,44,678,156,51.07,80.51
2015,1,10,9,30,-9,323,64,857,64,857,323,47.64,72.43
2015,1,10,10,30,-8,451,79,927,79,927,451,41.7,66.31
2015,1,10,11,30,-7,525,85,960,85,960,525,43.01,62.74
2015,1,10,12,30,-6,536,85,964,85,964,536,41.410000000000004,62.18
2015,1,10,13,30,-6,482,84,930,84,930,482,42.910000000000004,64.71000000000001
2015,1,10,14,30,-6,370,73,866,73,866,370,44.04,69.98
2015,1,10,15,30,-8,214,55,733,55,733,214,48.49,77.43
2015,1,10,16,30,-9,47,23,387,23,387,47,60.79,86.46000000000001
2015,1,10,17,30,-10,0,0,0,0,0,0,75.27,96.58
2015,1,10,18,30,-11,0,0,0,0,0,0,73.32000000000001,107.44
2015,1,10,19,30,-11,0,0,0,0,0,0,77.62,118.72
2015,1,10,20,30,-11,0,0,0,0,0,0,76.88,130.18
2015,1,10,21,30,-11,0,0,0,0,0,0,76.65,141.46
2015,1,10,22,30,-11,0,0,0,0,0,0,76.60000000000001,151.91
2015,1,10,23,30,-11,0,0,0,0,0,0,77.68,159.81
2015,1,11,0,30,-10,0,0,0,0,0,0,74.72,161.31
2015,1,11,1,30,-9,0,0,0,0,0,0,72.71000000000001,155.19
2015,1,11,2,30,-9,0,0,0,0,0,0,75.78,145.36
2015,1,11,3,30,-9,0,0,0,0,0,0,73.68,134.26
2015,1,11,4,30,-9,0,0,0,0,0,0,75.46000000000001,122.82000000000001
2015,1,11,5,30,-9,0,0,0,0,0,0,77.27,111.43
2015,1,11,6,30,-9,0,0,0,0,0,0,83.59,100.38
2015,1,11,7,30,-8,0,0,0,0,0,0,77.29,89.93
2015,1,11,8,30,-6,63,59,22,48,580,145,69.39,80.45
2015,1,11,9,30,-3,129,118,37,71,776,307,60.61,72.35000000000001
2015,1,11,10,30,-1,427,99,813,99,813,427,54.9,66.19
2015,1,11,11,30,0,399,131,581,100,872,502,52.31,62.6
2015,1,11,12,30,0,514,97,889,97,889,514,51.800000000000004,62.01
2015,1,11,13,30,1,372,117,592,89,868,463,55.61,64.53
2015,1,11,14,30,0,354,77,803,77,803,354,63.95,69.8
2015,1,11,15,30,0,125,83,193,56,664,203,69.33,77.25
2015,1,11,16,30,-1,27,24,53,24,314,44,76.23,86.28
2015,1,11,17,30,-2,0,0,0,0,0,0,80.97,96.41
2015,1,11,18,30,-2,0,0,0,0,0,0,82.5,107.27
2015,1,11,19,30,-2,0,0,0,0,0,0,84.14,118.56
2015,1,11,20,30,-2,0,0,0,0,0,0,85.03,130.01
2015,1,11,21,30,-2,0,0,0,0,0,0,85.08,141.29
2015,1,11,22,30,-2,0,0,0,0,0,0,85.13,151.74
2015,1,11,23,30,-2,0,0,0,0,0,0,85.36,159.63
2015,1,12,0,30,-2,0,0,0,0,0,0,81.02,161.17000000000002
2015,1,12,1,30,-1,0,0,0,0,0,0,83.52,155.13
2015,1,12,2,30,-1,0,0,0,0,0,0,86.23,145.33
2015,1,12,3,30,-1,0,0,0,0,0,0,88.9,134.25
2015,1,12,4,30,-1,0,0,0,0,0,0,85.07000000000001,122.8
2015,1,12,5,30,-1,0,0,0,0,0,0,87.4,111.41
2015,1,12,6,30,0,0,0,0,0,0,0,89.23,100.35000000000001
2015,1,12,7,30,0,0,0,0,0,0,0,91.46000000000001,89.89
2015,1,12,8,30,0,34,34,0,59,404,127,94.92,80.38
