Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1192465,-,-,-,39.77,-75.62,-5,65,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,DHI,DNI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Relative Humidity,Solar Zenith Angle
2015,1,1,0,30,-3,0,0,0,0,0,0,79.08,162.48
2015,1,1,1,30,-3,0,0,0,0,0,0,78.61,155.55
2015,1,1,2,30,-3,0,0,0,0,0,0,77.18,145.3
2015,1,1,3,30,-3,0,0,0,0,0,0,75.84,134.02
2015,1,1,4,30,-3,0,0,0,0,0,0,75.27,122.51
2015,1,1,5,30,-3,0,0,0,0,0,0,81.65,111.12
2015,1,1,6,30,-3,0,0,0,0,0,0,77.01,100.12
2015,1,1,7,30,-2,0,0,0,0,0,0,73.04,89.77
2015,1,1,8,30,-1,143,42,608,42,608,143,69.33,80.43
2015,1,1,9,30,0,296,58,792,58,792,296,62.1,72.53
2015,1,1,10,30,1,413,67,872,67,872,413,52.33,66.63
2015,1,1,11,30,2,478,69,908,69,908,478,49.160000000000004,63.31
2015,1,1,12,30,3,484,69,914,69,914,484,47.62,63.0
2015,1,1,13,30,3,429,68,880,68,880,429,49.65,65.73
2015,1,1,14,30,2,323,59,819,59,819,323,55.83,71.16
2015,1,1,15,30,1,142,54,449,44,673,176,65.06,78.7
2015,1,1,16,30,0,21,21,0,15,285,26,72.07000000000001,87.79
2015,1,1,17,30,0,0,0,0,0,0,0,71.67,97.96000000000001
2015,1,1,18,30,0,0,0,0,0,0,0,73.48,108.85000000000001
2015,1,1,19,30,0,0,0,0,0,0,0,75.71000000000001,120.17
2015,1,1,20,30,-1,0,0,0,0,0,0,84.15,131.68
2015,1,1,21,30,-1,0,0,0,0,0,0,86.46000000000001,143.04
2015,1,1,22,30,-1,0,0,0,0,0,0,88.63,153.6
2015,1,1,23,30,-1,0,0,0,0,0,0,88.92,161.5
2015,1,2,0,30,-1,0,0,0,0,0,0,88.34,162.43
2015,1,2,1,30,-1,0,0,0,0,0,0,87.9,155.56
2015,1,2,2,30,-1,0,0,0,0,0,0,87.52,145.33
2015,1,2,3,30,-1,0,0,0,0,0,0,87.47,134.06
2015,1,2,4,30,-1,0,0,0,0,0,0,87.46000000000001,122.55
2015,1,2,5,30,-1,0,0,0,0,0,0,87.14,111.16
2015,1,2,6,30,-1,0,0,0,0,0,0,86.68,100.15
2015,1,2,7,30,0,0,0,0,0,0,0,80.24,89.79
2015,1,2,8,30,1,74,61,75,45,538,135,78.44,80.44
2015,1,2,9,30,3,230,89,467,65,718,281,69.87,72.51
2015,1,2,10,30,4,282,154,321,93,732,384,60.97,66.59
2015,1,2,11,30,4,376,142,518,100,773,448,58.550000000000004,63.24
2015,1,2,12,30,5,390,136,556,98,787,457,54.9,62.9
2015,1,2,13,30,4,360,104,618,99,737,403,59.81,65.62
2015,1,2,14,30,3,252,98,471,84,672,302,65.82000000000001,71.03
2015,1,2,15,30,1,118,70,242,59,531,164,81.26,78.56
2015,1,2,16,30,0,18,18,0,18,169,25,82.3,87.65
2015,1,2,17,30,0,0,0,0,0,0,0,78.88,97.82000000000001
2015,1,2,18,30,0,0,0,0,0,0,0,79.69,108.71000000000001
2015,1,2,19,30,0,0,0,0,0,0,0,80.14,120.03
2015,1,2,20,30,0,0,0,0,0,0,0,79.21000000000001,131.54
2015,1,2,21,30,-1,0,0,0,0,0,0,81.93,142.9
2015,1,2,22,30,-1,0,0,0,0,0,0,81.63,153.46
2015,1,2,23,30,-1,0,0,0,0,0,0,81.89,161.38
2015,1,3,0,30,-1,0,0,0,0,0,0,83.23,162.37
2015,1,3,1,30,-2,0,0,0,0,0,0,89.14,155.56
2015,1,3,2,30,-2,0,0,0,0,0,0,89.54,145.36
2015,1,3,3,30,-2,0,0,0,0,0,0,90.63,134.1
2015,1,3,4,30,-1,0,0,0,0,0,0,91.48,122.59
2015,1,3,5,30,-1,0,0,0,0,0,0,86.13,111.19
2015,1,3,6,30,-1,0,0,0,0,0,0,87.55,100.17
2015,1,3,7,30,0,0,0,0,0,0,0,82.75,89.8
2015,1,3,8,30,0,94,58,212,50,445,124,86.42,80.43
2015,1,3,9,30,2,108,107,2,77,614,262,86.68,72.49
2015,1,3,10,30,3,129,129,0,93,693,369,88.31,66.53
2015,1,3,11,30,2,80,80,0,107,706,426,94.03,63.160000000000004
2015,1,3,12,30,2,36,36,0,122,663,425,97.94,62.800000000000004
2015,1,3,13,30,2,34,34,0,133,564,367,100.0,65.49
2015,1,3,14,30,2,49,49,0,117,466,270,100.0,70.89
2015,1,3,15,30,2,38,38,0,80,306,142,100.0,78.42
2015,1,3,16,30,2,5,5,0,17,36,18,100.0,87.5
2015,1,3,17,30,2,0,0,0,0,0,0,100.0,97.67
2015,1,3,18,30,2,0,0,0,0,0,0,100.0,108.56
2015,1,3,19,30,2,0,0,0,0,0,0,100.0,119.89
2015,1,3,20,30,2,0,0,0,0,0,0,100.0,131.4
2015,1,3,21,30,3,0,0,0,0,0,0,100.0,142.76
2015,1,3,22,30,2,0,0,0,0,0,0,100.0,153.31
2015,1,3,23,30,2,0,0,0,0,0,0,100.0,161.24
2015,1,4,0,30,2,0,0,0,0,0,0,100.0,162.3
2015,1,4,1,30,2,0,0,0,0,0,0,100.0,155.56
2015,1,4,2,30,3,0,0,0,0,0,0,100.0,145.38
2015,1,4,3,30,3,0,0,0,0,0,0,100.0,134.13
2015,1,4,4,30,3,0,0,0,0,0,0,100.0,122.62
2015,1,4,5,30,3,0,0,0,0,0,0,100.0,111.22
2015,1,4,6,30,3,0,0,0,0,0,0,100.0,100.19
2015,1,4,7,30,3,0,0,0,0,0,0,100.0,89.81
2015,1,4,8,30,4,22,22,0,51,403,118,100.0,80.42
2015,1,4,9,30,5,27,27,0,72,617,258,100.0,72.45
2015,1,4,10,30,7,126,126,0,96,668,362,98.13,66.47
2015,1,4,11,30,9,51,51,0,87,757,430,96.81,63.07
2015,1,4,12,30,11,59,59,0,76,797,441,100.0,62.68
2015,1,4,13,30,12,91,91,0,70,776,394,100.0,65.36
2015,1,4,14,30,12,68,68,0,63,708,296,100.0,70.75
2015,1,4,15,30,12,66,66,0,49,549,161,100.0,78.28
2015,1,4,16,30,12,10,10,0,18,154,25,100.0,87.36
2015,1,4,17,30,11,0,0,0,0,0,0,100.0,97.53
2015,1,4,18,30,11,0,0,0,0,0,0,100.0,108.42
2015,1,4,19,30,10,0,0,0,0,0,0,100.0,119.75
2015,1,4,20,30,9,0,0,0,0,0,0,100.0,131.25
2015,1,4,21,30,7,0,0,0,0,0,0,100.0,142.61
2015,1,4,22,30,6,0,0,0,0,0,0,90.95,153.17000000000002
2015,1,4,23,30,5,0,0,0,0,0,0,83.56,161.11
2015,1,5,0,30,3,0,0,0,0,0,0,86.08,162.22
2015,1,5,1,30,3,0,0,0,0,0,0,81.45,155.55
2015,1,5,2,30,2,0,0,0,0,0,0,85.28,145.4
2015,1,5,3,30,1,0,0,0,0,0,0,84.5,134.16
2015,1,5,4,30,0,0,0,0,0,0,0,81.21000000000001,122.64
2015,1,5,5,30,0,0,0,0,0,0,0,73.93,111.24000000000001
2015,1,5,6,30,0,0,0,0,0,0,0,68.83,100.2
2015,1,5,7,30,0,0,0,0,0,0,0,65.7,89.81
2015,1,5,8,30,0,74,62,72,47,554,140,62.52,80.4
2015,1,5,9,30,0,236,86,498,66,752,293,56.24,72.41
2015,1,5,10,30,0,145,142,6,72,857,415,52.27,66.41
2015,1,5,11,30,0,363,160,448,75,901,485,50.160000000000004,62.980000000000004
2015,1,5,12,30,0,495,74,914,74,914,495,48.18,62.57
2015,1,5,13,30,0,445,68,898,68,898,445,46.1,65.23
2015,1,5,14,30,0,340,57,851,57,851,340,44.22,70.61
2015,1,5,15,30,-1,192,42,730,42,730,192,46.29,78.13
2015,1,5,16,30,-2,35,17,373,17,373,35,49.71,87.21000000000001
2015,1,5,17,30,-3,0,0,0,0,0,0,53.96,97.38
2015,1,5,18,30,-4,0,0,0,0,0,0,56.64,108.27
2015,1,5,19,30,-4,0,0,0,0,0,0,55.42,119.60000000000001
2015,1,5,20,30,-4,0,0,0,0,0,0,54.72,131.11
2015,1,5,21,30,-4,0,0,0,0,0,0,58.17,142.46
2015,1,5,22,30,-5,0,0,0,0,0,0,57.76,153.01
2015,1,5,23,30,-5,0,0,0,0,0,0,57.93,160.96
2015,1,6,0,30,-5,0,0,0,0,0,0,56.92,162.14000000000001
2015,1,6,1,30,-5,0,0,0,0,0,0,56.02,155.53
2015,1,6,2,30,-5,0,0,0,0,0,0,55.230000000000004,145.41
2015,1,6,3,30,-5,0,0,0,0,0,0,53.94,134.18
2015,1,6,4,30,-5,0,0,0,0,0,0,53.69,122.67
2015,1,6,5,30,-5,0,0,0,0,0,0,56.480000000000004,111.25
2015,1,6,6,30,-5,0,0,0,0,0,0,59.82,100.21000000000001
2015,1,6,7,30,-5,0,0,0,0,0,0,62.53,89.8
2015,1,6,8,30,-5,71,61,55,75,328,130,65.41,80.37
2015,1,6,9,30,-4,110,109,5,119,544,284,68.78,72.37
2015,1,6,10,30,-4,187,165,54,154,620,403,66.78,66.33
2015,1,6,11,30,-4,164,162,5,176,649,472,69.65,62.88
2015,1,6,12,30,-3,123,123,0,168,680,483,67.21000000000001,62.440000000000005
2015,1,6,13,30,-3,109,109,0,163,628,428,69.71000000000001,65.08
2015,1,6,14,30,-3,110,110,0,141,533,319,72.10000000000001,70.45
2015,1,6,15,30,-3,99,80,93,92,394,175,74.04,77.97
2015,1,6,16,30,-3,29,29,0,24,97,29,74.24,87.05
2015,1,6,17,30,-4,0,0,0,0,0,0,79.85000000000001,97.22
2015,1,6,18,30,-4,0,0,0,0,0,0,78.22,108.12
2015,1,6,19,30,-4,0,0,0,0,0,0,75.49,119.45
2015,1,6,20,30,-4,0,0,0,0,0,0,78.13,130.95
2015,1,6,21,30,-5,0,0,0,0,0,0,74.31,142.31
2015,1,6,22,30,-6,0,0,0,0,0,0,78.67,152.86
2015,1,6,23,30,-6,0,0,0,0,0,0,77.12,160.81
2015,1,7,0,30,-5,0,0,0,0,0,0,70.14,162.04
2015,1,7,1,30,-5,0,0,0,0,0,0,69.94,155.5
2015,1,7,2,30,-5,0,0,0,0,0,0,70.68,145.41
2015,1,7,3,30,-5,0,0,0,0,0,0,71.89,134.19
2015,1,7,4,30,-5,0,0,0,0,0,0,73.04,122.68
2015,1,7,5,30,-5,0,0,0,0,0,0,71.99,111.26
2015,1,7,6,30,-5,0,0,0,0,0,0,68.66,100.21000000000001
2015,1,7,7,30,-6,0,0,0,0,0,0,68.95,89.79
2015,1,7,8,30,-6,147,53,559,53,559,147,62.81,80.34
2015,1,7,9,30,-6,311,76,770,76,770,311,54.34,72.31
2015,1,7,10,30,-5,437,94,852,94,852,437,50.61,66.25
2015,1,7,11,30,-5,508,108,873,108,873,508,46.06,62.77
2015,1,7,12,30,-5,376,162,460,114,867,517,45.52,62.31
2015,1,7,13,30,-5,375,101,645,105,847,464,44.7,64.93
2015,1,7,14,30,-6,221,132,264,93,770,352,47.39,70.3
