"Hour","Temp_degC","Relative_humidity_%","Solar_radiation_wattsperm2","Rainfall_mm","Date"
"2","-4.6","87","0","0.0",2015-01-03
"3","-4.6","88","0","0.0",2015-01-03
"4","-3.3","80","0","0.0",2015-01-03
"5","-1.9","71","0","0.0",2015-01-03
"6","-1.5","70","0","0.0",2015-01-03
"7","-1.1","67","4","0.0",2015-01-03
"8","-0.2","66","20","0.0",2015-01-03
"9","0.7","68","59","0.0",2015-01-03
"10","1.1","71","71","0.0",2015-01-03
"11","1.5","83","97","0.8",2015-01-03
"12","1.3","92","40","2.0",2015-01-03
"13","1.2","97","42","1.5",2015-01-03
"14","1.5","98","22","1.3",2015-01-03
"15","1.7","99","9","2.8",2015-01-03
"16","1.9","99","2","0.5",2015-01-03
"17","2.0","99","0","0.8",2015-01-03
"18","2.4","100","0","0.3",2015-01-03
"19","3.1","100","0","0.3",2015-01-03
"20","3.4","100","0","0.8",2015-01-03
"21","3.4","100","0","0.3",2015-01-03
"22","3.5","100","0","3.3",2015-01-03
"23","3.7","100","0","2.5",2015-01-03
"0","0.1","56","0","0.0",2015-01-02
"1","-0.1","56","0","0.0",2015-01-02
"2","-3.1","71","0","0.0",2015-01-02
"3","-2.0","66","0","0.0",2015-01-02
"4","0.2","52","0","0.0",2015-01-02
"5","0.1","52","0","0.0",2015-01-02
"6","0.0","53","0","0.0",2015-01-02
"7","-1.2","59","11","0.0",2015-01-02
"8","0.1","55","89","0.0",2015-01-02
"9","1.5","50","191","0.0",2015-01-02
"10","2.8","48","285","0.0",2015-01-02
"11","3.7","44","334","0.0",2015-01-02
"12","3.8","43","293","0.0",2015-01-02
"13","4.0","43","263","0.0",2015-01-02
"14","4.2","43","208","0.0",2015-01-02
"15","4.2","44","122","0.0",2015-01-02
"16","3.6","46","20","0.0",2015-01-02
"17","1.9","54","0","0.0",2015-01-02
"18","-0.3","64","0","0.0",2015-01-02
"19","-1.3","69","0","0.0",2015-01-02
"20","-2.5","76","0","0.0",2015-01-02
"21","-2.9","79","0","0.0",2015-01-02
"22","-3.2","81","0","0.0",2015-01-02
"23","-3.2","81","0","0.0",2015-01-02
"0","-3.7","47","0","0.0",2015-01-01
"1","-3.6","46","0","0.0",2015-01-01
"2","-3.3","44","0","0.0",2015-01-01
"3","-3.3","44","0","0.0",2015-01-01
"4","-3.5","44","0","0.0",2015-01-01
"5","-3.7","45","0","0.0",2015-01-01
"6","-4.0","47","0","0.0",2015-01-01
"7","-4.3","48","15","0.0",2015-01-01
"8","-3.2","44","136","0.0",2015-01-01
"9","-0.9","37","276","0.0",2015-01-01
"10","0.4","37","385","0.0",2015-01-01
"11","1.6","37","445","0.0",2015-01-01
"12","2.9","33","454","0.0",2015-01-01
"13","3.7","31","404","0.0",2015-01-01
"14","3.9","32","284","0.0",2015-01-01
"15","3.1","37","88","0.0",2015-01-01
"16","2.6","42","25","0.0",2015-01-01
"17","2.1","43","0","0.0",2015-01-01
"18","1.7","48","0","0.0",2015-01-01
"19","1.4","52","0","0.0",2015-01-01
"20","0.9","55","0","0.0",2015-01-01
"21","0.2","60","0","0.0",2015-01-01
"22","0.9","54","0","0.0",2015-01-01
"23","0.8","53","0","0.0",2015-01-01
